Orthogroup	nam	ncbi
OG0000002	Zm00001eb234110, Zm00001eb002140, Zm00001eb048430, Zm00001eb410610, Zm00001eb136520, Zm00001eb112860, Zm00001eb109760, Zm00001eb288170, Zm00001eb267760, Zm00001eb060770, Zm00001eb309930, Zm00001eb357470, Zm00001eb383620, Zm00001eb106170, Zm00001eb264890, Zm00001eb348130, Zm00001eb349150, Zm00001eb171980, Zm00001eb143250, Zm00001eb047710, Zm00001eb140770, Zm00001eb121280, Zm00001eb280590, Zm00001eb061270, Zm00001eb019950, Zm00001eb013310, Zm00001eb113840, Zm00001eb313340, Zm00001eb248770, Zm00001eb129400, Zm00001eb079160, Zm00001eb197540, Zm00001eb187790, Zm00001eb400150, Zm00001eb400140, Zm00001eb094830, Zm00001eb090270, Zm00001eb153690, Zm00001eb175480, Zm00001eb264560, Zm00001eb005470, Zm00001eb297850, Zm00001eb115070, Zm00001eb288460, Zm00001eb088550, Zm00001eb282370, Zm00001eb272910, Zm00001eb143040, Zm00001eb023750, Zm00001eb225800, Zm00001eb016360, Zm00001eb173010, Zm00001eb140710, Zm00001eb389510, Zm00001eb060180, Zm00001eb336230, Zm00001eb198090, Zm00001eb409810, Zm00001eb416350, Zm00001eb378290, Zm00001eb163490, Zm00001eb028320, Zm00001eb415200, Zm00001eb123120, Zm00001eb316680, Zm00001eb230450, Zm00001eb082520, Zm00001eb361060, Zm00001eb050360, Zm00001eb099230, Zm00001eb214140, Zm00001eb170780, Zm00001eb413060, Zm00001eb036500, Zm00001eb015300, Zm00001eb039580, Zm00001eb281650, Zm00001eb201790, Zm00001eb340660, Zm00001eb387000, Zm00001eb170010, Zm00001eb154770, Zm00001eb425330, Zm00001eb284660, Zm00001eb235960, Zm00001eb364550, Zm00001eb275800, Zm00001eb008960, Zm00001eb220350, Zm00001eb024410, Zm00001eb157750, Zm00001eb223110, Zm00001eb130010, Zm00001eb196660, Zm00001eb142470, Zm00001eb386600, Zm00001eb040960, Zm00001eb091310, Zm00001eb012370, Zm00001eb130100, Zm00001eb077660, Zm00001eb275840, Zm00001eb410810, Zm00001eb297710	LOC118472250
OG0000003	Zm00001eb185790, Zm00001eb278660, Zm00001eb430830, Zm00001eb351680, Zm00001eb359520, Zm00001eb081860, Zm00001eb242000, Zm00001eb113640, Zm00001eb237370, Zm00001eb125610, Zm00001eb046360, Zm00001eb322920, Zm00001eb374960, Zm00001eb070440, Zm00001eb250550, Zm00001eb197670, Zm00001eb352510, Zm00001eb252520, Zm00001eb178150, Zm00001eb386820, Zm00001eb159300, Zm00001eb409380, Zm00001eb325980, Zm00001eb327440, Zm00001eb264270, Zm00001eb420830, Zm00001eb314990, Zm00001eb019820, Zm00001eb143870, Zm00001eb038260, Zm00001eb137440, Zm00001eb323130, Zm00001eb095520, Zm00001eb420180, Zm00001eb309410, Zm00001eb427330, Zm00001eb024420, Zm00001eb432640, Zm00001eb399200, Zm00001eb234220, Zm00001eb302000, Zm00001eb115810, Zm00001eb200950, Zm00001eb264200, Zm00001eb149320, Zm00001eb084950, Zm00001eb270970, Zm00001eb313640, Zm00001eb365090, Zm00001eb249170, Zm00001eb357060, Zm00001eb350380, Zm00001eb353200, Zm00001eb188210, Zm00001eb391050, Zm00001eb024650, Zm00001eb218290, Zm00001eb076580, Zm00001eb261100, Zm00001eb262630, Zm00001eb175300, Zm00001eb172050, Zm00001eb315480, Zm00001eb315720, Zm00001eb066080, Zm00001eb116550, Zm00001eb408570, Zm00001eb174950, Zm00001eb303640, Zm00001eb308120, Zm00001eb388940, Zm00001eb241030, Zm00001eb087800, Zm00001eb378620, Zm00001eb256390, Zm00001eb026000, Zm00001eb180750, Zm00001eb215570, Zm00001eb410520, Zm00001eb095180, Zm00001eb372670, Zm00001eb313680, Zm00001eb009970, Zm00001eb365510, Zm00001eb251970, Zm00001eb155290, Zm00001eb284610, Zm00001eb317950, Zm00001eb348880, Zm00001eb357460, Zm00001eb069470, Zm00001eb095810, Zm00001eb390430, Zm00001eb286200, Zm00001eb010630, Zm00001eb140510, Zm00001eb432410, Zm00001eb055420, Zm00001eb357320, Zm00001eb411290, Zm00001eb408680, Zm00001eb245350	LOC118476327
OG0000009	Zm00001eb302770, Zm00001eb098530, Zm00001eb204440	LOC103632092
OG0000009	Zm00001eb092110, Zm00001eb158390, Zm00001eb154400, Zm00001eb283190, Zm00001eb264220, Zm00001eb336000, Zm00001eb391710, Zm00001eb172460, Zm00001eb387060, Zm00001eb425940, Zm00001eb009590, Zm00001eb410320, Zm00001eb098750, Zm00001eb327650, Zm00001eb314150, Zm00001eb407410, Zm00001eb340960, Zm00001eb193080, Zm00001eb091220, Zm00001eb202070, Zm00001eb372140, Zm00001eb377930, Zm00001eb000530, Zm00001eb035110, Zm00001eb344860, Zm00001eb223150, Zm00001eb273290, Zm00001eb145130, Zm00001eb008670, Zm00001eb060240, Zm00001eb181070, Zm00001eb183360, Zm00001eb158400, Zm00001eb297630, Zm00001eb269000, Zm00001eb155760, Zm00001eb041660, Zm00001eb376370, Zm00001eb087890, Zm00001eb172470, Zm00001eb081710, Zm00001eb307920, Zm00001eb289260, Zm00001eb363250, Zm00001eb245830, Zm00001eb027070, Zm00001eb378490, Zm00001eb371750, Zm00001eb220620, Zm00001eb319640, Zm00001eb088540, Zm00001eb157390, Zm00001eb249270, Zm00001eb389610	LOC118476688
OG0000010	Zm00001eb434420	LOC100281177, LOC109941059, LOC109945935, LOC109940613, LOC109939444, LOC109943709, LOC118473411, LOC100502493, LOC118476224, LOC109939722, LOC109940126, LOC109943985, LOC100191735, LOC100304144, LOC103635982, LOC109943503, LOC103650801, LOC109943630, LOC109940849, LOC109941750, LOC109943000, LOC109943127, LOC109940178, LOC109943432, LOC100216693, LOC100281046, LOC100281597, LOC100285178, LOC109943147, LOC100191482, LOC100383142, LOC109942969, LOC100285402, LOC111589548, LOC109946063, LOC103629531, LOC111590865, LOC109943047, LOC118476448, LOC103626261, LOC100304123, LOC100381392, LOC118473536, LOC109946064, LOC100280630, LOC103636109, LOC118476164, LOC103635338, LOC109943633, LOC109940125, LOC109943429, LOC109943106, LOC118476814, LOC109940502, LOC109939563, LOC111589943, LOC111589942
OG0000011	Zm00001eb360280	LOC118473514, LOC109945305, LOC109945085, LOC118472957, LOC118476795, LOC118473028, LOC109942824, LOC118473300, LOC118472926, LOC103631140, LOC118476931, orf161, LOC100193977, LOC103635015, orf165, LOC103644420, LOC103650335, LOC103654238, LOC118472919, LOC118473415, LOC103629216, LOC118476633, LOC118473520, LOC103653496, LOC100502382, LOC100193647, LOC109943284, LOC103629078, LOC103654433, LOC103649108, LOC100303836, LOC118476265, LOC100382585, LOC100274541, LOC100304412, LOC103653200, LOC111589729, LOC118473527, LOC109945830, LOC100383807, LOC100272714, LOC100284057, LOC109943108, LOC103640411, LOC118473574, LOC111590845, LOC101202729, LOC100216887, LOC103638371, LOC100281298, LOC103637106, LOC118473281, LOC109945734, LOC103654899
OG0000012	Zm00001eb072540, Zm00001eb288030	LOC109944827, LOC103651725
OG0000012	Zm00001eb431660	LOC103648186, LOC103655402, LOC109939353, LOC118476622, LOC103655671, LOC109940221, LOC103627675, LOC109940233, LOC103645342, LOC103645500, LOC103633038, LOC103633377, LOC103643262, LOC103630145, LOC103636472, LOC103628115, LOC103641746, LOC103650159, LOC103650398, LOC103646468, LOC109941901, LOC109941430, LOC118473592, LOC103655894, LOC103630779, LOC103641151, LOC103649942, LOC103642506, LOC103628594, LOC118476981, LOC103625785, LOC103630186, LOC103646249, LOC103638232, LOC103642505, LOC103651346, LOC103634310, LOC109941900, LOC103643368, LOC103646443, LOC103626113, LOC103638263, LOC103634041, LOC103642080, LOC103654131, LOC118471896
OG0000015	Zm00001eb099520	LOC100304227, LOC118473302, LOC118473245, LOC111589571, LOC103637244, LOC118473242, LOC109945596, LOC118473051, LOC103639748, LOC118476261, LOC103640551, LOC103638666, LOC118472019, LOC118476647, LOC118472274, LOC118473197, LOC109944108, LOC103643937, LOC103645774, LOC109942594, LOC111590174, LOC109944147, LOC109942294, LOC103651860, LOC103652448, LOC109943021, LOC103639306, LOC109939953, LOC103634188, LOC109944143, LOC103634238, LOC109945820, LOC103644544, LOC103644657, LOC103646250, LOC103639710, LOC103647367, LOC103651124, LOC103643457, LOC109944083, LOC103644389, LOC103630141, LOC103645197, LOC109942429
OG0000020	Zm00001eb432450	LOC103642139
