Orthogroup	v2	v5
OG0000001	GRMZM5G858687	Zm00001eb349150
OG0000001	GRMZM2G095646	Zm00001eb197540, Zm00001eb079160, Zm00001eb187790, Zm00001eb400150, Zm00001eb400140, Zm00001eb094830, Zm00001eb029920, Zm00001eb118310, Zm00001eb334580, Zm00001eb235670, Zm00001eb379400, Zm00001eb313340, Zm00001eb248770, Zm00001eb129400, Zm00001eb234110, Zm00001eb284660, Zm00001eb235960, Zm00001eb154770, Zm00001eb130010, Zm00001eb130100, Zm00001eb157750, Zm00001eb048430, Zm00001eb142470, Zm00001eb297710, Zm00001eb196660, Zm00001eb364550, Zm00001eb275800, Zm00001eb024410, Zm00001eb012370, Zm00001eb275840, Zm00001eb091310, Zm00001eb040960, Zm00001eb386600, Zm00001eb008960, Zm00001eb220350, Zm00001eb223110, Zm00001eb170010, Zm00001eb387000, Zm00001eb425330, Zm00001eb410810, Zm00001eb201790, Zm00001eb281650, Zm00001eb061270, Zm00001eb280590, Zm00001eb019950, Zm00001eb272910, Zm00001eb282370, Zm00001eb225800, Zm00001eb016360, Zm00001eb297850, Zm00001eb005470, Zm00001eb288460, Zm00001eb115070, Zm00001eb143040, Zm00001eb264560, Zm00001eb088550, Zm00001eb175480, Zm00001eb082520, Zm00001eb279080, Zm00001eb090270, Zm00001eb153690, Zm00001eb002140, Zm00001eb140710, Zm00001eb173010, Zm00001eb413060, Zm00001eb230450, Zm00001eb099230, Zm00001eb050360, Zm00001eb170780, Zm00001eb361060, Zm00001eb015300, Zm00001eb039580, Zm00001eb047710, Zm00001eb140770, Zm00001eb121280, Zm00001eb316680, Zm00001eb023750, Zm00001eb077660, Zm00001eb123120, Zm00001eb415200, Zm00001eb409810, Zm00001eb389510, Zm00001eb336230, Zm00001eb198090, Zm00001eb060180, Zm00001eb163490, Zm00001eb416350, Zm00001eb028320, Zm00001eb378290, Zm00001eb383620, Zm00001eb106170, Zm00001eb357470, Zm00001eb264890, Zm00001eb421650, Zm00001eb125320, Zm00001eb112860, Zm00001eb410610, Zm00001eb136520, Zm00001eb109760, Zm00001eb060770, Zm00001eb309930, Zm00001eb267760, Zm00001eb288170, Zm00001eb348130, Zm00001eb171980, Zm00001eb143250
OG0000003	GRMZM2G005174	Zm00001eb237490
OG0000003	GRMZM2G466048, GRMZM2G431033, GRMZM2G474266, GRMZM2G333732, GRMZM2G303860, GRMZM5G873203, GRMZM2G403712, GRMZM2G338313, GRMZM2G169093, GRMZM2G364697, GRMZM2G374128, GRMZM2G027720, GRMZM2G472869, GRMZM2G003708, GRMZM2G132595, GRMZM2G463447, GRMZM2G378340, GRMZM2G305926, GRMZM2G045370, GRMZM2G311281, GRMZM2G373246, GRMZM2G397843, GRMZM2G005028, GRMZM2G470412, GRMZM2G151397, GRMZM2G460451, GRMZM2G134454, GRMZM2G464814, GRMZM2G454088, GRMZM2G324511, GRMZM2G302365, GRMZM2G406600, GRMZM2G333205, GRMZM2G353967, GRMZM2G023955, GRMZM2G330442, GRMZM2G053920, GRMZM2G036108, GRMZM5G815635, GRMZM2G439757, GRMZM2G459512, GRMZM2G331561, GRMZM2G378695, GRMZM2G113624, GRMZM2G449430, GRMZM2G315252, GRMZM2G415550, GRMZM2G479332, GRMZM2G436742, GRMZM2G417360, GRMZM2G453577, GRMZM2G087157, GRMZM2G421992, GRMZM2G090365, GRMZM2G339513, GRMZM2G040463, GRMZM2G065851, GRMZM2G132783, GRMZM2G406792, GRMZM2G303305, GRMZM2G345963, GRMZM2G389247, GRMZM2G375585, GRMZM2G366559, GRMZM2G466663, GRMZM2G318382, GRMZM2G046236, GRMZM2G329558, GRMZM2G457626, GRMZM2G438575, GRMZM2G412412, GRMZM2G059116, GRMZM2G549143, GRMZM2G433905, GRMZM2G382389, GRMZM2G496334, GRMZM2G590792, GRMZM5G838157, GRMZM2G444893, GRMZM2G422932, GRMZM2G021865, GRMZM2G364637, GRMZM2G423518, GRMZM2G116142, GRMZM2G371246, GRMZM2G382919, GRMZM2G491163, GRMZM2G371044, GRMZM2G458249, GRMZM2G351149, GRMZM5G888766, GRMZM2G115978, GRMZM2G409044, GRMZM2G432607, GRMZM5G828718	Zm00001eb419880, Zm00001eb139120
OG0000004	GRMZM2G464103	Zm00001eb431660
OG0000004	GRMZM2G448277, GRMZM2G389045, GRMZM2G362557, GRMZM2G506830, GRMZM2G478401, GRMZM2G108639, GRMZM2G477180, GRMZM2G316089, GRMZM2G328520, GRMZM2G130326, GRMZM2G333405, GRMZM2G333536, GRMZM2G148817, GRMZM2G128778, GRMZM2G138848, GRMZM2G097493, GRMZM2G471283, GRMZM2G480122, GRMZM2G391491, GRMZM2G396464, GRMZM2G405580, GRMZM2G304797, GRMZM2G429226, GRMZM2G325543, GRMZM2G315707, GRMZM2G370848, GRMZM2G469130, GRMZM2G467391, GRMZM2G363338, GRMZM2G327175, GRMZM2G382866, GRMZM2G169757, GRMZM2G304586, GRMZM2G371277, GRMZM2G317552, GRMZM5G896932, GRMZM2G389289, GRMZM2G073164, GRMZM2G153663, GRMZM2G304600, GRMZM2G081315, GRMZM2G380616, GRMZM5G858947, GRMZM2G398680, GRMZM5G894275, GRMZM2G131536, GRMZM2G432330, GRMZM2G328559, GRMZM2G344856, GRMZM2G454472, GRMZM2G351210, GRMZM2G319256, GRMZM5G847787, GRMZM2G330509, GRMZM2G322473, GRMZM2G415781, GRMZM2G445072, GRMZM2G310600, GRMZM2G320816, GRMZM2G382353, GRMZM2G472156, GRMZM2G406129, GRMZM2G320204, GRMZM2G472719, GRMZM2G480349, GRMZM2G437857, GRMZM2G435473, GRMZM2G322451, GRMZM2G411221, GRMZM2G105342, GRMZM2G334016, GRMZM2G329419, GRMZM5G858108, GRMZM2G320145	Zm00001eb418890
OG0000006	GRMZM2G149665, GRMZM2G042980, GRMZM2G325217, GRMZM2G425910, GRMZM2G455422, GRMZM2G171315, GRMZM2G512088, GRMZM2G127661, GRMZM2G380424, GRMZM2G451845, GRMZM2G040660, GRMZM2G460422, GRMZM2G422061, GRMZM2G383673, GRMZM2G310161, GRMZM2G416808, GRMZM2G366140, GRMZM2G417684, GRMZM2G380881, GRMZM2G328111, GRMZM2G308799, GRMZM2G413170, GRMZM2G370538, GRMZM2G001994, GRMZM2G058549, GRMZM2G431083, GRMZM2G313380, GRMZM2G407783, GRMZM2G002932, GRMZM2G322874, GRMZM2G363332, GRMZM2G588344, GRMZM2G419667, GRMZM2G156357, GRMZM2G385628, GRMZM2G459543, GRMZM5G823733, GRMZM2G322390, GRMZM2G428612, GRMZM2G338049, GRMZM2G088994, GRMZM2G396411, GRMZM2G369945, GRMZM2G469323, GRMZM2G393082, GRMZM2G348205, GRMZM2G474525, GRMZM2G478714, GRMZM2G363913, GRMZM2G069264, GRMZM2G449843, GRMZM2G152463, GRMZM2G003538, GRMZM2G099064, GRMZM2G360387, GRMZM2G312429, GRMZM2G067158, GRMZM2G078246, GRMZM2G373536, GRMZM2G309073, GRMZM2G126309, GRMZM2G449179, GRMZM2G147608, GRMZM2G178239	Zm00001eb419060
OG0000007	GRMZM2G052442	Zm00001eb390930, Zm00001eb270180
OG0000007	GRMZM2G150489	Zm00001eb379810
OG0000007	GRMZM2G130324	Zm00001eb309640
